#register file ports content for FP32
#<portA> <portB>
#pair00 -> cols 0,1 ; pair01 -> cols 2,3
#FIRST TEST VALUES OF HMMAstep0andstep1 (FP32)
#tg0 A00 submatrix pair00
#thread0
418C43F8 C07A5A9A
419FCE95 3EBCD1CD
#thread17
C191AA9F 417B16B7
#thread18
4101DE69 417D344B
#thread19
C1C74F26 41E97EF3
#tg0 C00 submatrix pair01
#thread0
3FA0267B 3F063B93
#thread1
BF60C748 BFB4A95F
#thread2
40BE600C C18B47CF
#thread3
41F6785F BFFDE90F
#tg4 C10 submatrix pair01
#thread16
41724038 C02507B0
#thread17
C1BCD93B C19A533E
#thread18
41CA1488 C168DF16
#thread19
C1B0EF75 C19ACB65
#tg0 C01 submatrix pair00
#thread0
BFBAC5BD BEBA4D26
#thread1
4055A88F 41AC588B
#thread2
419604C0 41B217AD
#thread3
41C7A0D8 C13E1B93
#tg4 C11 submatrix pair00
#thread16
40D9B380 41E0AB18
#thread17
C15096D4 C1A90FFA
#thread18
41E609CD C0C6E70E
#thread19
C19DBC82 C1A629D0
#tg0 C01 submatrix pair01
#thread0
C0BDB8CA 408B9B53
#thread1
C1C85E19 C18CB583
#thread2
41FD5999 41BEEE53
#thread3
C0C965A0 C16D7B19
#tg4 C11 submatrix pair01
#thread16
C11F1676 40697AB3
#thread17
C19C10A4 C1E254FD
#thread18
41AB11E5 4139AE6F
#thread19
419FBCEB C170EF6A
