<a0> <a1> <a2> <a3> <b0> <b1> <b2> <b3> <c0> <r> <r_gold>
2.25 7.5 -6 0.0585938 -9 8 1.625 -5.5 -2.25 30 28
5 -3.25 -9 9 7.5 6.5 -3.75 2.25 9 80 72
-5.5 6.5 -3.5 0.5625 5.5 7.5 1.625 -4.5 2 11 12
-4.5 -5.5 -2 5 4 -1.25 -7.5 -8 1 -32 -36
1.625 -0.75 -3.25 -2.75 -1.625 1.125 9 -4.5 -5.5 -28 -26
-9 3.25 7.5 -6.5 -9 -6.5 5 7 -1.875 52 52
-7 10 6 3 2.75 -8 -5 3.5 5 -120 -112
0.375 -0.9375 -8 -6.5 -3.5 -6 2.75 5.5 4.5 -48 -52
4.5 -8 6.5 -9 8 -6.5 5.5 7.5 -9 44 56
4.5 -9 2 3.25 0.5 -2.25 -5.5 4 5 28 28
-3.5 4.5 8 1.625 8 -0.171875 0.117188 9 -5.5 -18 -18
9 -8 1.875 4 -2.75 -8 6.5 -10 -2.5 8 10
10 6 2.75 0.375 1.5 3.25 -4 -6 -4.5 18 18
-2.5 6.5 2.75 -0.625 4 5.5 9 -7 8 60 60
0.40625 -0.28125 -0.8125 1.5 7 3.75 9 9 1.25 9 9
1.25 2.75 4 -8 -4.5 3.75 6 -5.5 -9 64 64
1 2 -9 -2.25 -1.625 9 -9 9 7 80 88
-7 5.5 9 10 4 9 8 -0.40625 -7 80 88
10 4 -0.171875 -5 9 10 -8 -0.75 -8 120 120
10 0.5 -2.75 5.5 -3 -9 10 3 6.5 -40 -40
0.625 -3.75 1 8 1.5 -2.75 -7.5 1.625 3.25 20 20
8 -5 2.75 7.5 -6 4.5 -5 -4 -0.3125 -120 -120
1.5 -1.125 9 -0.171875 7.5 2.25 -1 8 -0.25 -2.5 -2.75
6.5 8 4.5 10 -3.5 -0.28125 4 2.5 10 28 28
6.5 0.8125 -4.5 0.1875 -2.5 10 -1.75 4 2.25 2.5 3
8 -3.25 -8 -5 1.75 -9 -4 -7 0.5 112 112
7 10 -0.171875 5 -8 7 5 1.125 9 28 28
-6.5 -1.625 8 -7.5 -4.5 -0.234375 -4 -1.5 -3.75 5 5
9 -0.34375 3.5 5.5 -2.75 -9 -6 6 -5 -15 -13
1.5 9 -3.5 -1.75 1.375 3.25 -5.5 2.5 -5 40 44
2.5 -1.375 2.75 0.117188 -1.875 1.75 4.5 7.5 7.5 14 14
-7 0.34375 1 -0.625 -4.5 -0.25 -4.5 3 -1.25 24 24
-1.375 4.5 6 2.75 1.25 -9 3.25 0.015625 -7.5 -28 -28
-8 -7.5 3.5 -2 4.5 9 -6 -4.5 -7 -120 -112
-6 -1.75 -2.75 1.375 1.625 3.25 7.5 -3.25 0.25 -40 -40
8 2 8 3.5 0.75 6 -10 0.375 -5 -64 -72
-1 -3 6 7.5 -5.5 -2.75 -5 8 8 52 52
8 -0.8125 7.5 -9 -5.5 0.28125 -5 -8 0.6875 -8 -7.5
-6.5 -2.25 8 -9 5.5 -6.5 -6 10 -7 -176 -160
2.75 -7.5 -10 0.75 2.25 -9 -4.5 -3.75 7 128 120
-2 9 3.5 -9 10 -5.5 0.625 9 0.5625 -160 -144
-1.5 -4 -3.25 5.5 7 2 -2 3.25 -6 -0.125 0
-0.140625 10 -9 -3 2.75 -8 -3.25 -6.5 8 -24 -20
-8 3.75 5.5 -4.5 8 9 -0.21875 -6.5 3.5 1.25 1.5
0.34375 2.25 -1.75 2.25 -9 9 -2.75 -3 -5.5 9 7.5
7.5 -4 -7.5 7.5 -3.25 0.34375 -0.6875 -7.5 9 -64 -72
-1.375 3.5 -4 -8 -4.5 -10 -0.9375 -5 7.5 24 22
7 -5.5 6.5 -1.75 -5.5 10 0.117188 7.5 10 -96 -104
8 2.5 9 9 8 1.375 1.875 4 -10 112 104
9 -3.75 1.625 -6 -6 1 -3.75 -10 -2.75 -4 -7
2.75 -6 10 -8 -1.625 -9 -4 -3.5 3 40 44
8 2.5 -5.5 -8 -8 6.5 6.5 6 -9 -128 -144
-1.25 1.75 -0.109375 -2.75 7 3.75 0.0351562 -4 -4.5 4.5 3.5
2 3 1.25 2.75 -9 2.75 -0.875 3.25 4.5 2 2.5
-5.5 -5 -9 5 6 2.5 10 -7 -7.5 -176 -160
-2.25 2.75 6.5 7 -2 -4.5 -7.5 2.25 5.5 -36 -36
-8 9 9 -7 10 -8 8 -0.875 6 -64 -72
-2.25 -4.5 0.75 -6 10 -0.75 -10 3 1.875 -40 -44
0.75 -2.5 4.5 -9 -6.5 -0.9375 9 9 -2.75 -44 -48
-0.8125 -4 5 2.25 -9 -1.875 -0.5 -6 -4 -5.5 -6
4 9 -4.5 -3.75 3 -4.5 3.75 3.25 -2.25 -60 -60
7.5 0.375 5 1.5 7 6.5 -3.5 -1.625 -5 32 32
-8 2.25 2.75 -2.25 2.25 -1.625 -7 -7 -5.5 -32 -30
1.25 7.5 -0.9375 -0.34375 -5.5 -2.75 2.75 -2.75 6.5 -22 -24
-5.5 3.5 8 -9 0.9375 0.9375 -3.25 10 -2.25 -120 -112
5 -4.5 3.25 -4 -2.75 -3 -0.21875 -8 3.75 36 36
1.875 5.5 -4 -1.75 -3.25 -5 -4 1.375 -4.5 -26 -22
-8 0.75 7 -3 8 -7 2.5 -3.5 -1.375 -44 -48
0.9375 10 6.5 4.5 0.46875 3.25 2 -9 -4.5 -0.5 -0.5
1.125 -6.5 6 5.5 1.875 -6 -5 -1.25 2 7 5
-0.015625 3.25 -8 -8 -3.25 8 9 -4.5 -5 -16 -16
0.625 -10 5 -10 6.5 1.5 -1.5 -6 -5.5 36 36
3.5 -3 -6.5 9 9 -0.5 3.5 -2.25 -0.203125 -11 -10
7.5 -5.5 -3.25 -8 9 -0.4375 1.125 -9 5.5 144 128
0.5625 -4 -9 -0.625 -0.21875 3.75 4.5 -9 9 -44 -44
6 -9 -9 5.5 -7.5 9 -3.75 1.75 6.5 -80 -80
8 -4 4 -3.5 5.5 9 2.5 3.5 9 14 15
-6.5 -4.5 4.5 -2.25 -7.5 5 7 -6 7.5 80 80
4.5 -3.75 8 -9 -7.5 -3 6.5 7.5 -9 -48 -40
-4.5 6 -10 2.25 3.5 2.25 -3.5 -3.75 3.75 28 28
0.28125 -5.5 7 10 1.875 0.6875 7 0.1875 2.25 48 48
-3 -6.5 -6.5 -6 -8 0.28125 -9 -2.75 3 104 96
2.25 0.625 5.5 3.75 9 7.5 3.5 1.625 3 56 52
1.375 -6 -1.625 6.5 3 -6 -10 -8 3 8 7
-7 -3.25 4 -1.625 6 -2.5 7 -6.5 5.5 11 12
-2.5 -3.25 2.75 7.5 -4 9 -9 0.140625 0.28125 -44 -44
9 -4 3.75 -5.5 -0.5625 -0.00585938 -0.101562 -6.5 -7 24 24
2.25 3 -0.8125 -1.625 -6.5 10 2.75 1.75 2.5 13 12
-1.875 -10 0.40625 6.5 -9 3 -7.5 1.125 -9 -18 -16
5 -5 -5 -5.5 2.25 5 9 -7.5 0.6875 -15 -15
9 4.5 -6 -9 -2.5 -9 4.5 -7 4.5 -24 -28
7.5 6 8 -6 -7.5 0.15625 -0.09375 2 3 -64 -60
-5.5 -10 -8 2.5 -5.5 4 -6 4.5 8 60 60
-9 -7.5 -1.75 3.75 -3.5 -0.9375 10 4 1.625 36 36
-2.75 -6.5 6 -0.9375 -2 -5 9 -7.5 1.375 104 104
-4 5 -10 0.46875 7.5 9 -4 5 -0.9375 60 60
-3.25 -6.5 7.5 -0.75 1.625 -7.5 -6 -4.5 -3 -1.625 0.5
9 -2.75 -6 9 2.5 5 10 6 5 6 9
-7 5 -4 6.5 -6.5 4.5 -5.5 3 4.5 112 120
-1.625 -6.5 -0.5 0.5 -0.234375 -1.5 -4 -6 -3.25 6 6
0.125 -1.625 7.5 -8 -6 -3.75 -0.28125 -9 -0.0390625 72 72
-3.5 -0.625 2.5 5.5 8 8 -4.5 -7.5 -5 -88 -88
0.6875 -5 9 4.5 -1.375 9 -3.5 4 -8 -72 -72
-0.5 7.5 -4.5 -4.5 -1.875 8 -9 -0.0703125 4.5 104 104
-10 9 8 -6 -7 -6.5 9 -1.125 -8 88 80
7 -9 9 3 2.75 7 -7 -6 4 -120 -128
-3.5 -0.0214844 -2.25 -4 -9 6 7 -8 2.75 52 52
-3 4 4 -6 7 -0.234375 1.75 6 -0.40625 -52 -48
0.5625 -2 1.25 -6 3.75 -4.5 3.5 -6 7.5 60 60
1.25 -0.6875 2.75 -3 -7 -2 6 5.5 -0.9375 -9 -9
6 9 -7 3.25 -6 1.25 -10 -10 -9 7.5 7
-8 -4 10 -8 -1.25 4 2.5 -5.5 -9 56 56
-6.5 -4 10 -7.5 8 1.5 -3.25 6.5 -3 -144 -128
6 -10 5 8 -2.5 4 -3.75 -3.25 6 -88 -88
-1.25 -1.375 -4.5 -9 -9 0.5625 -3.5 -8 8 112 104
3.5 -5.5 6 0.875 10 -10 0.171875 2 -0.28125 88 96
-6 -2 4 -9 4.5 -10 -6 -0.875 -6.5 -28 -30
-4.5 -0.34375 -8 -1.625 1 -6.5 -9 0.25 0.46875 72 72
-2 6 0.5625 9 -9 -9 5.5 0.125 6 -24 -30
7 -1.5 6.5 -7 -8 -7.5 -2.5 -6 -10 -30 -30
-5 1.75 -2.25 4.5 -2.75 -4 -6 6.5 -9 40 40
-8 -0.5 -3 2.75 -6.5 -0.875 5.5 0.46875 9 44 44
-8 -3.5 8 -8 4.5 8 4.5 5 -7 -80 -72
1.125 2.5 8 8 0.9375 1.625 -5 4 -7 -8 -11
-8 -6 2.25 7 1.75 6 -7 6.5 -9 -26 -28
-2.25 -7.5 2.5 -4 -2.75 3.75 0.625 -6.5 7 13 13
6.5 -9 -2 3.25 4 -6.5 9 0.3125 1.75 72 72
4 1.5 -0.140625 -3.75 7.5 -9 -5 5 6.5 3.25 4.5
7 -2.75 8 -0 -7 -4 5.5 -4 6.5 12 14
-5 8 0.40625 5.5 -6.5 9 1.875 0.375 -9 96 96
10 -5.5 -7 -5 8 7 -5.5 7.5 8 52 52
-7 0.15625 5.5 2.5 9 5.5 5.5 -3.5 -9 -48 -48
-3.75 -5 -6.5 -1.25 9 -6 -0.25 9 2 -12 -9
6.5 10 -9 -2.75 4.5 7.5 0.46875 -6.5 8 120 120
-7.5 -0.1875 -8 -10 2.75 -5 -8 9 2.75 -40 -40
0.375 -6 4 -1.75 -5.5 -9 -2.5 6.5 3.25 36 40
1.625 1 -7.5 -0.21875 -7 6 5 9 -1 -44 -40
2.75 -4.5 6.5 -0.4375 9 9 -9 -9 -5.5 -80 -88
1.875 3.75 4 -8 3.75 -10 -0.0078125 -6 -8 8 12
1.375 -5.5 2.5 -3.25 1.125 9 9 -1.875 7.5 -12 -12
-2.75 -8 8 -10 -3.5 -2.25 9 -6 -9 144 144
-0.9375 -1.875 -1.875 -3.5 -6.5 1.375 -1.5 1.125 -10 -7.5 -8
-3.5 9 5.5 0.21875 8 -0.117188 -8 -1.375 6.5 -64 -64
-8 5 6.5 -0.5625 0.625 -7 -7 -6 5 -80 -72
-7.5 -4.5 1.625 -6 3 7.5 -4 -5.5 -2.25 -32 -36
9 -0.40625 -7 9 10 1.375 -9 7 4.5 224 224
-2.5 -6 8 -1.125 -10 -1.125 2.5 1.125 1 52 52
3 4 -0.875 -5.5 7.5 -7 -3.5 -7.5 -9 30 28
-6.5 1.875 9 8 7.5 9 5.5 4.5 -2.5 48 48
0.40625 -4 -2.75 6 6.5 9 6 0.0136719 3 -48 -44
-3.75 -2 -3.25 -9 0.5625 2.25 10 3 6.5 -60 -56
-7.5 -6.5 -6.5 1.125 3.25 5.5 0.375 3 9 -52 -52
-5.5 -0.875 -3.5 7 0.0859375 -9 1.75 -7 2 -48 -48
-5.5 0.9375 0.9375 0.4375 -4 -9 7 -2.5 3.75 22 22
-3.75 -3 -9 -7.5 -4 4 3.5 -1.75 4.5 -11 -10
7.5 -0.1875 -10 -9 8 5.5 2.75 -9 -3.75 112 112
8 3 4.5 -2 0.875 9 6 -5.5 4.5 72 80
5.5 3.5 -1.5 6 5 2.5 8 6 9 64 72
-8 2.25 -8 -6 3.75 0.8125 4.5 -3.25 -10 -60 -56
1.75 -7 -9 3.75 -5.5 6 0.75 -6 4.5 -80 -72
10 -5.5 -10 -7 -6.5 1 4.5 -6.5 -5 -80 -72
3.25 -9 7.5 5 -6.5 -1.125 1.125 6.5 -3.5 28 24
-4 3.25 -2.5 4.5 -3.25 -9 -2.5 -6 6 -30 -32
-1.5 -3.75 0.6875 -5.5 3.25 2.75 3 7.5 -3 -56 -56
2 -3.25 5 -0.0195312 9 -5 -0.5625 6 -3 30 28
-9 3 -8 -9 9 -0.34375 7.5 5 -10 -192 -208
-2.25 4 -9 5.5 -1.25 0.8125 -3 2.5 -9 36 40
0.171875 -4.5 -3 -4.5 8 -0.3125 -2.25 -9 0.6875 52 48
6.5 -8 0.375 7.5 5.5 0.8125 8 6.5 -5 80 72
-9 1 7.5 -5.5 -3.75 -7 -0.25 10 -7 -36 -40
6.5 8 -2.25 -1.875 1.75 -7 -2.25 -1.875 9 -26 -28
0.6875 7.5 -3 -5.5 5.5 -4 -5 6.5 3.75 -44 -44
3.75 6 5 -2.75 -4.5 -7 -2.5 9 -7.5 -104 -96
-3.25 -2.25 2 -10 5.5 -10 -2.5 1.25 -3 -15 -16
4.5 -0.875 -0.8125 -9 -7.5 -1.875 -9 1.375 -2.25 -40 -36
4.5 -0.15625 -3 -8 6.5 1.25 -9 4.5 -3.75 16 16
9 2.25 3 -8 3.75 -7.5 9 -6.5 9 112 104
-3.75 -9 9 3 -1.875 9 7 2.75 8 7 8
-2 3.75 10 0.5625 -3 -0.5625 -1.625 -9 -3.25 -22 -20
-7 0.75 -6 -2.25 6 0.203125 -5 -4.5 -1.875 -4 -1.875
8 -2.5 -3.75 0.6875 -5 6 -1.875 -10 -8 -64 -64
2.75 -9 5.5 -8 -2 7.5 -1.375 -4.5 0.8125 -44 -44
1.125 2 -5.5 7 8 -4 -1.625 -1.125 -4 -1.875 -2
7.5 -4.5 0.6875 -0.34375 0.875 -1.125 -1.375 7 6.5 16 14
-4.5 9 -1.75 4 -0.0429688 -7.5 -4.5 -4.5 2.5 -72 -72
4.5 2.5 5.5 -10 -6.5 6 -1 3.25 0.34375 -52 -52
9 -2.25 -6.5 -7 7 -6 -1.375 10 1.375 18 18
-1.25 2 -3.5 -7.5 8 0.3125 -2.5 9 -2 -72 -64
8 6.5 9 9 2.5 -6 2.75 9 1.625 88 80
-3 5 3 -3.25 -4 6 9 -3.5 -9 72 64
-8 -9 -2 -4.5 4 9 3 6 9 -144 -128
10 6 8 -4.5 2.75 6 -5 6.5 -8 -13 -14
-3.5 -0.6875 -1.125 1.125 -7.5 2.25 -3.25 -5 6.5 26 28
-1.125 9 -7.5 -0.375 0.8125 2.25 -10 -1.25 -3.75 88 96
6 -0.00585938 0.171875 7 0.4375 7.5 3.75 -9 5.5 -56 -56
-1.875 -3.25 -6.5 2.25 -2.5 6.5 10 -4 -8 -96 -96
7.5 -4 10 2.75 4 8 2.75 6 -3.25 40 36
6 -3.5 -5.5 -3.5 9 5 -0.25 -4 -3.25 48 52
-6.5 3.25 -9 5 -0.6875 8 -0.5 5.5 3.25 64 64
-9 2.75 -1.625 -4 5.5 -7.5 4 8 -10 -120 -112
7.5 8 -7.5 -0.9375 1.75 -7 9 -2.5 0.5625 -104 -112
-3 -7 1.625 -5 -7.5 -4.5 -2.25 -5 3.5 80 80
9 5.5 -8 -9 -7.5 -5.5 2.5 6 4.5 -160 -160
7.5 0.3125 4.5 2.25 -10 5.5 -0.171875 5.5 2.75 -60 -56
1.875 -9 3.5 -1.375 -8 10 0.9375 8 1.875 -112 -112
1.125 -2.25 7 -0.8125 -5 7.5 -1.375 4.5 7 -30 -28
9 -7.5 2.75 -6 5.5 3.25 -1.875 -2 -2.75 30 30
2.25 -6 8 -4.5 2 4 8 1.375 -0.109375 36 40
2.5 4 -5.5 -5 2 8 5.5 -7 -7.5 36 32
7 9 -7.5 -9 1.5 -9 -7 4.5 -3.75 -60 -64
-4 7 -5 -3 -3.25 -6 8 -0.28125 0.0234375 -64 -64
5.5 -7.5 -4.5 9 1.25 -7.5 5 -7 6 -15 -18
-5.5 -10 0.8125 8 -7 3.25 2.75 9 -0.25 80 80
-0.078125 5.5 -6 -4.5 5.5 -3.25 -9 -9 6 80 88
-7 5.5 3 7 -9 -6.5 -4.5 -9 10 -40 -40
-1 1.625 -9 9 8 -0.625 4.5 8 0.117188 24 24
1.75 -8 9 5 -4 4.5 -9 1.125 1.625 -112 -120
-0.5 -7.5 0.34375 -3.25 -9 7 9 0.75 -7 -56 -56
-7.5 6.5 5.5 3 -9 1.375 -5.5 8 -5.5 64 60
-0.21875 2.25 7.5 1.875 -0.8125 0.0859375 -8 -5 -2.5 -72 -72
5.5 7 2 0.75 1.75 4.5 3.75 7 -5 48 48
-7 -8 6.5 1.875 -0.8125 -0.171875 -1.625 4.5 0.109375 5.5 4
7.5 -4.5 6.5 -7.5 -3.75 1.375 -7 -2.75 -7 -64 -64
5 1 -6.5 0.5 9 8 -0.15625 -10 5.5 56 52
7 -8 5 9 2.5 0.140625 2.25 -8 -1.25 -48 -44
5.5 -2.5 4 0.75 -0.0175781 -8 8 0.15625 -8 44 44
9 -7.5 -9 -0.234375 -6 -7 -9 -0.0585938 4.5 88 88
-5.5 4 1.875 7 4.5 -9 9 1.25 -3.75 -40 -40
-4.5 -0.375 -5 9 -3 10 -7.5 -1.25 -10 24 26
5 -5.5 -8 2.5 -5.5 0.28125 0.46875 1.125 5 -26 -24
-5 -5.5 -2 -0.15625 6.5 4 -0.625 6.5 -0.375 -56 -56
-3.25 6.5 -2.25 -10 9 -6 9 2.75 -0.46875 -120 -128
-0.6875 -10 -0.3125 -5 6 -2.25 -0.3125 9 6.5 -20 -20
-4.5 -7 -10 -9 3.25 -7.5 -8 5 10 80 72
-0.75 8 4.5 1.375 -5 4.5 8 1.875 7.5 80 88
7.5 -3.25 -7.5 7 -9 5.5 -7.5 -0.0625 -6 -32 -30
-2.25 4.5 -3 6 4 9 -4.5 -2.25 -8 22 24
-0.140625 -0.5 -1.875 -2.75 5 -7 -2.25 -3.25 5 20 20
5 -9 9 -1.75 -3.75 -2.5 2.25 -3 0.234375 30 28
-3.5 7 7.5 5.5 6 6 6.5 7.5 0.5625 112 104
6 10 -7 -10 2.5 -0.4375 -1.875 10 -1.5 -80 -72
9 5.5 -5 5.5 4.5 -0.875 -5.5 -2.75 10 56 56
5.5 7.5 -9 -0.28125 4.5 10 -5.5 -1.25 -8 144 128
-5.5 -9 7 -3.5 3.75 -4.5 7.5 -3 2.5 80 80
-9 -6.5 -9 8 1.625 8 6.5 5 0.25 -80 -88
7 -8 -0.0078125 8 -1.625 -2.75 3.5 2 -0.21875 26 28
3 -5.5 5.5 1.25 -4.5 7 6.5 -9 9 -20 -24
-9 -3.75 5.5 5 7 -7.5 7.5 -0.9375 -10 -7.5 -10
9 -6 1.75 0.4375 -0.125 9 -6.5 -10 1.5 -72 -72
-5.5 -9 -5 -4 -4.5 1.75 0.00976562 -1.75 -4.5 11 10
-9 -5 -7 0.5625 -1.25 -4.5 -9 -8 2.25 88 88
6.5 -7 -5 5 0.3125 0.40625 -4 -1.25 4.5 18 18
6.5 0.9375 1.125 -10 -7 -4.5 8 -0.75 -7 -40 -40
-9 6.5 -7 3.75 5 4.5 -1.875 -5.5 9 -15 -11
-1.625 -8 -8 -2.75 2.75 -4.5 6 8 -6 -44 -48
-0.40625 -3.25 -7 2.25 -0.5 -6 8 7.5 5.5 -15 -14
-9 -3.25 0.3125 7 -2.5 -10 3.25 5.5 -5 88 88
-3.5 4 -9 10 5.5 -3.5 -1.5 7.5 -3 52 52
8 -6.5 10 1.5 1.75 9 -5 7 8 -80 -80
-3.5 -2 -7 2.25 10 1.125 -0.46875 9 2.25 -12 -14
5 7.5 -1.5 -3.25 -0.5 -1 10 -6 4 -0.5 0
-5 -6 -0.25 -6 4 -2.25 -10 1.625 -8 -22 -22
-4 1.5 -9 1.875 -9 -1 -5.5 -9 -3 64 60
8 -3 -1.125 2.75 0.5 1.25 7 9 2.25 20 18
-8 8 -8 -9 -1.75 -0.5 -2.5 -10 -1 120 120
4 -6 -3.5 -7.5 0.9375 5 -0.6875 8 -3.5 -88 -80
3.5 -5.5 -2 7.5 -7.5 2.25 6 -1.75 10 -52 -56
7.5 -0.75 0.40625 -1.5 -1.125 -4.5 6.5 9 -8 -24 -24
9 9 4.5 7 8 -10 -6 3.75 8 -10 -10
0.6875 0.5 6.5 4.5 -4.5 7 -3.5 5.5 9 12 11
1.5 9 0.21875 -4.5 -4 8 -2.5 -2.25 9 80 80
1 2.75 5.5 -3.75 7.5 2.75 1.125 5.5 10 11 10
-6 -6 3 -9 2.75 -4.5 -3.25 9 0.75 -80 -80
-6.5 9 -10 8 -5 -8 -9 1.875 -0.1875 64 64
-7 5.5 8 3.5 -4.5 -5 -0.5625 -3 -6 -16 -16
2.5 9 -5 -6 -3.25 2.25 -0.117188 9 -9 -52 -52
6.5 10 -7 3.5 -4 -2 -9 5.5 0.171875 36 36
0.15625 0.75 -5.5 -6 -0.40625 -9 -10 -6 10 96 88
6 -5.5 5 -4 -8 -1.875 0.5 -4 8 -12 -12
-1.75 -0.8125 -5.5 6.5 3.5 -7.5 3.5 -7 9 -56 -56
2.25 -9 7 -0.375 -3.75 1.875 -6.5 -0.8125 -0.0117188 -72 -64
7 9 -7.5 7.5 -6 2.5 -1.375 -8 1.75 -64 -64
-9 -0.9375 -4.5 4.5 10 -2.5 6 -5.5 -9 -144 -144
-2.5 -0.625 9 0.4375 2.75 -6.5 10 10 7 104 104
10 -8 -5 3.75 -1.375 5 -1.125 -3.75 4.5 -60 -60
6.5 -8 5 -1.125 8 -8 -1.5 7 10 112 104
7 4.5 9 3.25 -3.25 8 -8 -3 -0.375 -72 -64
-7 -4.5 4 -0.0703125 -7.5 -5.5 7 -7 -1.875 112 112
3.75 1.5 5 6 1.375 -3 -9 10 -9 8 7
-10 -9 -7 -4.5 -7.5 -9 -7.5 -5.5 -4.5 240 224
1.25 -10 4 -2 -7 2.25 -7 3.5 4.5 -64 -60
-3.25 4.5 5 2.25 -6 -7.5 0.5625 -6.5 -9 -36 -32
5.5 -4.5 3.25 -0.8125 -8 -7.5 1.875 2.5 -10 -18 -18
9 5.5 5 1.375 -2.75 -7.5 0.203125 -6 9 -64 -64
-4.5 0.203125 -0.21875 8 0.46875 -7.5 -5.5 2.25 -5 10 11
3.5 6.5 1.625 -7.5 -0.4375 -3 2.75 -5.5 -5.5 20 16
2.75 -8 -7 -1.375 2.5 -4 -10 0.75 9 120 120
-5.5 9 4 -9 -10 -0.09375 2.5 2.75 1.5 40 40
-7.5 -1.5 1.625 9 8 6 -6.5 1.75 -4 -64 -64
-2.75 10 7.5 -7 -1 7 -7 0.625 -0.875 16 15
3.25 -5 1.625 2.25 3.75 7 5 -7 -1.25 -32 -32
-7.5 6 6.5 5 3 8 -10 0.75 4 -32 -32
-2.25 3.75 1.625 -1.25 5.5 -1.125 -10 -3.5 8 -22 -20
6.5 -7 3 8 3.25 8 7.5 5 7 36 36
2.75 -0.9375 -9 -0.5625 -4.5 -5 -0.46875 4.5 3.5 -2.75 -2.5
-6.5 -7 5 -2.5 5 -8 7 2 6.5 60 64
-8 6 6.5 7 8 6 6.5 -10 2.75 -52 -52
-1.5 -9 -9 -6.5 -4.5 -10 1 8 9 44 44
-4 -6 5 -4.5 6 -0.15625 -7.5 -5.5 1.25 -36 -36
-5 -10 -2.75 -7 -1 -3.75 -4.5 -10 -10 112 120
5.5 -8 6 -9 8 -9 7 -3.25 -1.875 192 192
-1.375 -3 -4.5 3.25 3.25 -1 1.125 -2 -3.5 -16 -16
1.5 -7 5.5 -4 -10 -1.375 -1 7.5 5 -36 -36
-7.5 -4 -3.5 -1.625 4 -2.25 -3.5 4 -7.5 -22 -22
3.25 2.5 -2.5 6.5 -3.5 -5.5 -1.5 -9 -3.75 -80 -80
-5 1.25 -9 -5 -0.5 -7.5 -5.5 -6.5 9 88 80
3 0.28125 9 -3.25 -3.75 -1.5 0.5 -3 2.75 6 6
5.5 3.75 -10 6 9 -8 -9 -1.125 4.5 104 104
1.625 1.375 -8 5 8 9 -6 -10 5 30 28
-4.5 8 7.5 -0.875 -10 3 10 9 -3 144 120
0.375 6 3 -8 -4 -10 6 -1.75 -3 -32 -28
-7.5 2.5 -5.5 9 7 -7.5 4.5 -2.25 -5.5 -120 -120
6.5 -4 0.5625 -6 -10 -3.25 7.5 -7 -2 -6 -10
10 -0.375 2.25 -7.5 1.75 6 10 5 -7 -7.5 -3
-0.5 -10 -3 -4 5.5 -9 4 8 -1.875 48 48
9 7.5 -9 -1.375 -9 10 -4.5 6.5 6.5 36 30
5 1.875 -7.5 -2.5 -5.5 -7 6.5 5.5 -2.25 -112 -104
-6 -0.28125 8 5 -5 1.875 8 -2.25 -7 80 80
-0.8125 -0.3125 8 -9 4 5 -1.5 9 -6 -104 -104
-9 0.28125 10 -1.625 -8 7 1.25 -2.75 -10 88 80
8 9 3 -0.9375 0.46875 7.5 -1.875 7 -6 52 48
9 -1.5 6 -3.5 2.25 -4.5 -2.75 -5 8 36 40
-0.75 -8 -7 5 6.5 7 -9 -5.5 -4 -28 -28
-5 -0.8125 9 -6.5 -9 -2.5 6.5 3.5 -0.101562 80 88
0.4375 -1.75 -5 -8 -1.75 9 2.75 -6 -7.5 12 10
7 0.234375 -4 9 -9 5.5 4.5 -10 7.5 -160 -160
4.5 7 2.75 -6.5 -6 -3.25 -10 -5.5 9 -28 -36
9 -10 -9 5 -5 6 -9 3 2.5 -9 -6.5
7.5 -9 -4 -1.875 7 5 -9 8 -2.25 28 26
-6.5 0.8125 -0.875 -3.75 0.8125 -9 -8 -5.5 4.5 20 18
1.25 -9 10 -6 -8 -6.5 -4 3 -1.75 -10 -12
0.46875 -8 -2.25 7.5 -8 -0.5625 -3.5 3 -7.5 24 24
8 3.25 7.5 2.75 -10 -0.6875 10 1.75 -8 -8 -11
-5.5 -0.9375 0.34375 3.5 -8 -5.5 6.5 -7 3.25 32 32
0.46875 1.625 -4.5 -4 -0.0546875 -2.75 0.5625 -1.25 -10 -11 -12
2.75 8 9 5.5 -0.3125 -1.5 1.75 -5 3 -22 -20
-9 2.5 5.5 8 2.25 2.75 -6 -3.75 0.5625 -80 -72
-7.5 -7 3.25 -3.5 -3.25 -1.5 -0.140625 10 -0.6875 1 -4.5
9 -6.5 1.375 6 1.125 8 0.625 8 7.5 16 16
-2 10 3.25 -6.5 -4.5 -1.375 10 -1.125 3.5 36 40
9 -3 10 -2.5 -6.5 -1 6 -4.5 -3.75 11 11
1.625 -3 -1.25 -7 5 2.5 -2.75 -3.25 1.25 28 28
5.5 4 6 6.5 2.75 -0.34375 8 -1.75 2.75 52 56
8 0.625 9 2.75 10 -9 8 7 -1.125 160 160
2.75 -3 8 -1.875 -3 7.5 -0.8125 -10 -7.5 -30 -26
-3.75 -6 -8 -5.5 3.75 -6 -8 4.5 -7 56 56
-9 -1.125 1.25 2 0.4375 2.5 -9 7.5 0.9375 -3 -2
-4.5 -4.5 0.9375 -4.5 3.25 5.5 -3.5 -0.101562 -7 -52 -52
8 -9 2.25 -5 -5 -9 -8 4.5 1.125 -0.5 1.125
2.5 -4 -5 7 -7.5 -2.25 6.5 -2 -7 -64 -64
6.5 -9 0.34375 -1 7.5 5.5 7 -2.75 -1.125 3.5 4
-9 0.117188 2.25 10 7.5 6 3 2 -10 -52 -48
-9 3 1.75 -4.5 10 -6.5 -6 5 8 -128 -128
8 0.40625 7 -9 4.5 -2.75 -6.5 -5 -7 24 28
